"Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"Vanderbijlpark Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Dart;Python","MongoDB","Cloudflare;Hetzner","FastAPI","Higher Education","Bing AI;ChatGPT","Replit Ghostwriter","Employed, full-time"
"Mbombela Campus","Data Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;PHP;SQL","MongoDB;MySQL;Redis","Amazon Web Services (AWS);Netlify;Vercel","CodeIgniter;Express;jQuery;Laravel;Next.js;Node.js;React;Vue.js;WordPress","Wholesale","ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Whispr AI","Employed, full-time"
"Pretoria Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;TypeScript","MySQL","Amazon Web Services (AWS)","Angular;Next.js;Node.js","Retail and Consumer Services","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot","Employed, full-time"
"Durban Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL;TypeScript","Elasticsearch;H2;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Digital Ocean;Google Cloud;Microsoft Azure","Angular;AngularJS;Express;Laravel;Node.js;Spring Boot","Advertising Services","Bing AI;ChatGPT","AWS CodeWhisperer;Codeium;Tabnine;Whispr AI","Employed, full-time"
"Durban Campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;Dart;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL","Cloud Firestore;Firebase Realtime Database;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite","Firebase;Google Cloud;Managed Hosting","Django;Express;FastAPI;Fastify;Flask;jQuery;Laravel;Node.js;WordPress","Advertising Services","Bing AI;ChatGPT","Adrenaline;GitHub Copilot;Rubber Duck.AI","Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time"
"Vanderbijlpark Campus","Computer Science","I am a developer by profession","Developer, full-stack","Primary/elementary school","HTML/CSS;JavaScript;PHP","MongoDB;MySQL","Amazon Web Services (AWS);Netlify","Angular;Express;Node.js;React","Advertising Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Mintlify;Tabnine","Independent contractor, freelancer, or self-employed"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;PHP;Ruby","MariaDB;MySQL;PostgreSQL","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Heroku","Laravel;Node.js;Vue.js;WordPress","Legal Services","ChatGPT","Rubber Duck.AI;Synk Code","Employed, full-time;Independent contractor, freelancer, or self-employed"
"Nelson Mandela Bay Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Lua;PHP;PowerShell;R;SQL;Visual Basic (.Net)","MariaDB;Microsoft SQL Server;MongoDB;MySQL","Google Cloud;Heroku;Microsoft Azure;Netlify;VMware","ASP.NET;ASP.NET CORE;Express;Node.js;Vue.js;WordPress","Insurance","ChatGPT","GitHub Copilot;Mintlify","Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time"
"Mbombela Campus","Computer Science","I am a developer by profession","Developer, full-stack","Something else","Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lua;Objective-C;PHP;SQL;Swift;TypeScript","BigQuery;MariaDB;MongoDB;MySQL;Redis","Firebase;Hetzner;Managed Hosting;Vercel","AngularJS;Express;jQuery;Laravel;Next.js;Node.js;Qwik;React;Remix;Spring Boot;Symfony;Vue.js;WordPress","Higher Education","Bing AI;ChatGPT;WolframAlpha;You.com","Adrenaline;GitHub Copilot;Rubber Duck.AI","Employed, full-time;Independent contractor, freelancer, or self-employed"
"Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Dart;JavaScript;PHP;TypeScript","MySQL;PostgreSQL;SQLite","Microsoft Azure;OVH","NestJS","Manufacturing, Transportation, or Supply Chain","ChatGPT","GitHub Copilot;Tabnine","Employed, full-time"
"Mbombela Campus","Computer Science","I am a developer by profession","System administrator","Some college/university study without earning a degree","TypeScript","MongoDB","Google Cloud","Express;Node.js;React;WordPress","Oil & Gas","ChatGPT","Mintlify","Independent contractor, freelancer, or self-employed"
"Durban Campus","Computer Science","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;Go;Groovy;HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL;TypeScript","Cockroachdb;Cosmos DB;Elasticsearch;MariaDB;MySQL;Oracle;PostgreSQL;Redis","Digital Ocean;Microsoft Azure","Angular;AngularJS;Spring Boot;Vue.js;WordPress","Insurance","Bing AI;ChatGPT","Adrenaline;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Dart;HTML/CSS;JavaScript;PHP;SQL;TypeScript","MariaDB;MongoDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Digital Ocean;Google Cloud;Netlify;Vercel","Express;Node.js","Other","ChatGPT","Mintlify","Employed, full-time;Independent contractor, freelancer, or self-employed"
"Mbombela Campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Go;Groovy;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL","Dynamodb;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;Neo4J;Oracle;SQLite","Amazon Web Services (AWS);Google Cloud;Microsoft Azure","AngularJS;ASP.NET;Flask;Node.js;Spring Boot","Legal Services","ChatGPT","AWS CodeWhisperer;Replit Ghostwriter;Rubber Duck.AI;Tabnine","Employed, full-time"
"Vanderbijlpark Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C#;C++;HTML/CSS;JavaScript;SQL","Cloud Firestore;Firebase Realtime Database;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Firebase;Google Cloud;Heroku;Microsoft Azure","Angular;ASP.NET;ASP.NET CORE;Blazor;jQuery;Next.js;Node.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT","Codeium;Replit Ghostwriter","Employed, full-time"
"Nelson Mandela Bay Campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","JavaScript","MySQL","Microsoft Azure","Express;Node.js;React","Manufacturing, Transportation, or Supply Chain","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine;Whispr AI","Employed, part-time"
"Pretoria Campus","IT","I am a developer by profession","Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Dart;Java;JavaScript;Kotlin;Ruby;SQL;Swift;TypeScript","InfluxDB;Microsoft SQL Server;MongoDB;PostgreSQL;RavenDB;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Microsoft Azure","ASP.NET CORE;Blazor;NestJS;Node.js;React","Healthcare","Bing AI;ChatGPT;Phind","AWS CodeWhisperer;Synk Code","Employed, full-time;Independent contractor, freelancer, or self-employed"
"Mbombela Campus","Computer Science","I am a developer by profession","Data scientist or machine learning specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C++;HTML/CSS;JavaScript;Python;TypeScript","Cassandra;MySQL;Oracle;Redis;SQLite","Amazon Web Services (AWS)","Django;FastAPI;Flask","Financial Services","ChatGPT;WolframAlpha;You.com","GitHub Copilot;Tabnine","Employed, full-time"
"Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;PHP;Python;SQL;TypeScript","Elasticsearch;MariaDB;Microsoft SQL Server;MySQL;Redis;SQLite","Amazon Web Services (AWS);Digital Ocean;Microsoft Azure;VMware","Django;Express;Laravel;Node.js","Higher Education","ChatGPT","AWS CodeWhisperer;Rubber Duck.AI","Employed, full-time"
"Mbombela Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;R;SQL;TypeScript;VBA","MariaDB;Microsoft SQL Server;MySQL","Amazon Web Services (AWS);Firebase;Microsoft Azure","ASP.NET;ASP.NET CORE;Django;React;Vue.js","Wholesale","ChatGPT","GitHub Copilot;Replit Ghostwriter","Employed, full-time"
"Mbombela Campus","IT","I am a developer by profession","Other (please specify):","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;JavaScript;Python","Dynamodb;PostgreSQL","Amazon Web Services (AWS)","React","Oil & Gas","Bing AI;ChatGPT;Google Bard AI","Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, full-time"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Data scientist or machine learning specialist","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Bash/Shell (all shells);C#;HTML/CSS;MATLAB;Python;R;SQL","Microsoft SQL Server;MySQL;Oracle;PostgreSQL","Amazon Web Services (AWS);Google Cloud;Microsoft Azure;VMware","FastAPI","Advertising Services","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Tabnine;Whispr AI","Employed, full-time"
"Durban Campus","IT","I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","JavaScript;Python;SQL;TypeScript","Cosmos DB;PostgreSQL;Solr","Microsoft Azure;Scaleway","FastAPI;Node.js;React","Manufacturing, Transportation, or Supply Chain","ChatGPT","Adrenaline;AWS CodeWhisperer","Employed, full-time;Student, full-time"
"Durban Campus","IT","I am a developer by profession","Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;TypeScript","Cosmos DB;Microsoft SQL Server","Microsoft Azure","ASP.NET CORE;Vue.js","Other","Bing AI;ChatGPT","Rubber Duck.AI","Employed, full-time"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Assembly;Bash/Shell (all shells);C;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;MATLAB;PHP;PowerShell;Python;R;Ruby;Rust;Scala;SQL;TypeScript;Visual Basic (.Net)","Cosmos DB;Dynamodb;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Heroku;IBM Cloud Or Watson;Microsoft Azure;Netlify;Render;Vercel","Deno;Next.js;Node.js;React;Ruby on Rails;Vue.js","Advertising Services","Bing AI;ChatGPT","AWS CodeWhisperer;Codeium;Tabnine;Whispr AI","Employed, full-time"
"Mbombela Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Java;Kotlin","Oracle","Amazon Web Services (AWS)","Spring Boot","Legal Services","ChatGPT","Adrenaline;AWS CodeWhisperer;Codeium;Mintlify;Rubber Duck.AI;Synk Code;Tabnine","Employed, full-time"
"Pretoria Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Groovy;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript","MySQL","Amazon Web Services (AWS)","jQuery;Play Framework;React","Retail and Consumer Services","ChatGPT","Adrenaline;GitHub Copilot;Synk Code","Employed, full-time"
"Vanderbijlpark Campus","IT","I am a developer by profession","Developer, back-end","Some college/university study without earning a degree","Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Lua;Python;Rust;TypeScript","Cloud Firestore;MongoDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Digital Ocean;Firebase;Netlify;Vercel","Next.js;React","Oil & Gas","ChatGPT;You.com","Mintlify;Synk Code","Employed, full-time;Independent contractor, freelancer, or self-employed"
"Pretoria Campus","Computer Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","HTML/CSS;JavaScript;PHP;TypeScript","MariaDB;MongoDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase","Angular;AngularJS;CodeIgniter;Laravel","Healthcare","ChatGPT;Google Bard AI","GitHub Copilot;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"Durban Campus","Computer Science","I am a developer by profession","Developer, back-end","Some college/university study without earning a degree","C#;HTML/CSS;JavaScript;PowerShell;SQL","Microsoft SQL Server","Microsoft Azure","ASP.NET;jQuery","Oil & Gas","Bing AI;ChatGPT","Tabnine;Whispr AI","Employed, full-time"
"Durban Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;Java;Kotlin;PowerShell;SQL;TypeScript","Microsoft SQL Server;PostgreSQL","Hetzner;Oracle Cloud Infrastructure (OCI)","ASP.NET;jQuery;Spring Boot","Other","ChatGPT;WolframAlpha","AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine","Employed, part-time"
"Durban Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript","MongoDB;MySQL;PostgreSQL;SQLite","Digital Ocean;Hetzner;Microsoft Azure","Angular;Django;FastAPI;Gatsby;Node.js;Vue.js","Advertising Services","ChatGPT;WolframAlpha","AWS CodeWhisperer;GitHub Copilot;Synk Code","Independent contractor, freelancer, or self-employed"
"Pretoria Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C++;Dart;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript","MongoDB;MySQL;PostgreSQL","Firebase;Heroku;Netlify","Express;Fastify;Node.js","Oil & Gas","ChatGPT","Adrenaline;AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"Vanderbijlpark Campus","Computer Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","HTML/CSS;Java;JavaScript;PHP","MariaDB;MySQL;PostgreSQL","Hetzner","Node.js;Symfony;Vue.js;WordPress","Insurance","ChatGPT","Adrenaline;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Independent contractor, freelancer, or self-employed"
"Vanderbijlpark Campus","IT","I am a developer by profession","Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;TypeScript","Elasticsearch;MongoDB;MySQL","Hetzner;Microsoft Azure","Angular;ASP.NET;Express;Flask;Node.js;React;Vue.js;WordPress","Financial Services","Bing AI;ChatGPT","Codeium;Synk Code;Whispr AI","Independent contractor, freelancer, or self-employed"
"Durban Campus","Computer Science","I am a developer by profession","Developer, back-end","Associate degree (A.A., A.S., etc.)","C#;Java;JavaScript;Python","Cosmos DB;Microsoft SQL Server","Microsoft Azure","ASP.NET CORE","Manufacturing, Transportation, or Supply Chain","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine","Employed, full-time"
"Durban Campus","IT","I used to be a developer by profession, but no longer am","DevOps specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;JavaScript;Python;SQL","Microsoft SQL Server","Amazon Web Services (AWS)","ASP.NET;Node.js","Retail and Consumer Services","ChatGPT","Adrenaline;GitHub Copilot;Rubber Duck.AI","Employed, full-time;Independent contractor, freelancer, or self-employed;Not employed, but looking for work"
"Pretoria Campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Groovy;Java;JavaScript;Python;TypeScript","Dynamodb;H2;MySQL;Oracle","Amazon Web Services (AWS);VMware","Express;Flask;Node.js;Spring Boot","Financial Services","ChatGPT","Whispr AI","Employed, full-time"
"Mbombela Campus","Data Science","I am a developer by profession","Developer, front-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;SQL;TypeScript;VBA","MariaDB;Microsoft SQL Server;MongoDB;MySQL","Google Cloud;Microsoft Azure","jQuery;Node.js;React;WordPress","Insurance","ChatGPT","Adrenaline;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"Mbombela Campus","Computer Science","I am a developer by profession","Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C++;Dart;Groovy;JavaScript;Kotlin;Lua;Python;Ruby;Rust;TypeScript","Firebase Realtime Database;MongoDB;MySQL;SQLite;Supabase","Firebase;Vercel","Django;Flask;Next.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT;Google Bard AI","AWS CodeWhisperer;Codeium;GitHub Copilot","Independent contractor, freelancer, or self-employed;Employed, part-time;Student, part-time"
"Vanderbijlpark Campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, back-end","Some college/university study without earning a degree","C#;HTML/CSS;JavaScript;Python;SQL","Microsoft SQL Server;PostgreSQL","Heroku","Django;FastAPI","Manufacturing, Transportation, or Supply Chain","ChatGPT","AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine","Employed, full-time"
"Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;MATLAB;PHP;Python;R;SQL;TypeScript","Dynamodb;Microsoft Access;Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Google Cloud;Heroku;Hetzner;Netlify;OpenStack;Vercel","CodeIgniter;Django;Flask;jQuery;Nuxt.js","Other","Bing AI","Whispr AI","Employed, full-time"
"Durban Campus","IT","I am a developer by profession","Developer, game or graphics","Some college/university study without earning a degree","Go;HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript","MySQL;Neo4J;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Managed Hosting;OVH","Laravel;Node.js;React","Other","ChatGPT","Adrenaline;GitHub Copilot;Synk Code","Independent contractor, freelancer, or self-employed"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;PHP","MySQL","Digital Ocean;Firebase;Google Cloud;VMware","jQuery;React;Symfony","Retail and Consumer Services","ChatGPT","GitHub Copilot;Whispr AI","Employed, full-time"
"Vanderbijlpark Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;PHP;SQL","MariaDB;MySQL","Digital Ocean","Express;Laravel;Node.js;Vue.js","Insurance","ChatGPT","Adrenaline;Synk Code;Whispr AI","Employed, full-time"
